state,x,y
Ladakh,-121,289
J&K,-162,266
Himachal Pradesh,-135,229
Punjab,-152,203
Haryana,-138,169
Uttarakhand,-87,188
Delhi,-114,154
Uttar Pradesh,-77,118
Rajasthan,-204,111
Gujarat,-233,28
Madhya Pradesh,-125,30
Maharashtra,-171,-53
Goa,-181,-141
Karnataka,-152,-182
Kerala,-139,-255
Tamil Nadu,-110,-233
Andhra Pradesh,-100,-141
Telangana,-92,-90
Chhattisgarh,-32,-5
Odisha,28,-24
Jharkhand,38,48
Bihar,51,89
West Bengal,90,29
Sikkim,110,133
Assam,181,113
Arunachal Pradesh,214,154
Nagaland,227,111
Manipur,215,79
Mizoram,200,43
Tripura,174,52
Meghalaya,154,91
